тег;серия;код;ячейка;база;зерно;K;классов;cmin, нм;cmax, нм;bulk_n0, 1/м³;состав;выдержка, с;статус;остановка;момент остановки, с;конец, с;строк;доля в конце, %;максимум доли, %;радиус в конце, нм;частиц в конце, 1/м³;признак (шаг 1 в);невязка до остановки / x0;элемент остановки;сырой состав на остановке / x0;растворений за шаг;ложных зарождений на плато;наибольший рост шага, раз;вызовов баланса с сырым ≤ 0: стадии / шаги;стена, с;пик памяти, ГиБ;текст остановки
do_718_s0;до правки;до правки;718;ni;0;—;800;0,1;50;8,428e+28;NI=54.2, CR=17.9, NB=5.3, MO=2.99, TI=0.97, AL=0.5 (мас.%);360000;посчитан;да;3,872076635;3,872076635;217;5,23205;5,23205;0,54121;7,7948e+25;перелёт (по NPZ);2,09e-16;TI;AL 1,055, CR 1,055, MO 1,055, NB 0,5738, NI 0,9728, TI -0,3185;0;0;2,703;1 / 1;18,5;0,416;Расчёт остановлен на 3.872 с модельного времени (0.001076 ч): доля Ti в матрице стала 0 ат.%, баланс масс нарушен. Показана часть расчёта до остановки. Причина: при движущей силе по базе зарождение практически безбарьерное, и выделение вычерпывает добавки из матрицы быстрее, чем модель это выдерживает.
do_umolch_al_s0;до правки;до правки;umolch_al;al;0;—;80;0,2;10;1,000e+28;Cu=4 (ат.%);86400;посчитан;нет;;86400;373;0;0;0;0,0000e+00;;;;;0;0;10,46;0 / 0;10,8;0,313;
do_umolch_ni_s0;до правки;до правки;umolch_ni;ni;0;—;80;0,2;10;1,000e+28;Al=15 (ат.%);360000;посчитан;нет;;360000;18881;26,0317;26,0322;92,2284;6,5697e+19;;;;;49;0;4,327;0 / 0;255,1;0,364;
k15_app_s0;шаг 1 а: выбор K;после правки;app;fe;0;1,5;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1216;4,40953;4,40955;9,58669;9,8219e+21;;;;;0;0;1,5;0 / 0;39,7;0,347;
k15_app_s1;шаг 1 а: выбор K;после правки;app;fe;1;1,5;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1219;4,40954;4,40954;9,58717;9,8213e+21;;;;;0;0;1,5;0 / 0;39,7;0,348;
k15_app_s2;шаг 1 а: выбор K;после правки;app;fe;2;1,5;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1229;4,40957;4,40957;9,58572;9,8230e+21;;;;;0;0;1,5;0 / 0;40,4;0,348;
k2_app_s0;шаг 1 а: выбор K;после правки;app;fe;0;2;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1470;4,40954;4,40954;9,5185;9,9785e+21;;;;;0;0;2;0 / 0;46,3;0,348;
k2_app_s1;шаг 1 а: выбор K;после правки;app;fe;1;2;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1447;4,40946;4,40951;9,517;9,9801e+21;;;;;0;0;2;0 / 0;45,7;0,348;
k2_app_s2;шаг 1 а: выбор K;после правки;app;fe;2;2;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1528;4,40953;4,40953;9,51752;9,9796e+21;;;;;0;0;2;0 / 0;47,6;0,348;
k4_app_s0;шаг 1 а: выбор K;после правки;app;fe;0;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;3292;4,40943;4,40943;9,33936;1,0390e+22;;;;;0;0;4;0 / 0;92,0;0,348;
k4_app_s1;шаг 1 а: выбор K;после правки;app;fe;1;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;3084;4,40935;4,4094;9,33632;1,0392e+22;;;;;0;0;4;0 / 0;86,0;0,346;
k4_app_s2;шаг 1 а: выбор K;после правки;app;fe;2;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;3385;4,40945;4,40945;9,33684;1,0388e+22;;;;;0;0;4;0 / 0;93,8;0,347;
x_k1.1_app_s0;сверх задания;после правки;app;fe;0;1,1;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;1097;4,40968;4,40968;9,78749;9,3870e+21;;;;;0;0;1,1;0 / 0;36,0;0,347;
x_k2_dtmax1e-4_app_s0;сверх задания;после правки;app;fe;0;2;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;10114;4,4098;4,4098;10,0757;8,8916e+21;;;;;0;0;2;0 / 0;248,9;0,348;
x_k4_dtmax1e-4_app_s0;сверх задания;после правки;app;fe;0;4;40;0,2;10;1,000e+28;C=0.20, Cr=11.5, Ni=0.7 (мас.%);3,6;посчитан;нет;;3,6;10114;4,4098;4,4098;10,0757;8,8916e+21;;;;;0;0;2,931;0 / 0;247,4;0,349;
